Frame_Number,Pixel_Value
0,77.0
1,77.0
2,77.0
3,77.0
4,77.0
5,77.0
6,77.0
7,76.81818181818181
8,76.81818181818181
9,77.0
10,77.0
11,76.9090909090909
12,76.9090909090909
13,77.0
14,77.0
15,77.0
16,77.0
17,77.0
18,77.0
19,77.0
20,77.0
21,77.0
22,77.0
23,77.0
24,77.0
25,77.0
26,77.0
27,77.0
28,77.0
29,77.0
30,77.0
31,77.0
32,77.0
33,77.0
34,77.0
35,77.0
36,77.0
37,77.0
38,77.36363636363636
39,77.0
40,77.0
41,77.0
42,77.0
43,77.0
44,77.0
45,77.0
46,77.0
47,77.0
48,77.0
49,77.0
50,77.0
51,77.0
52,77.0
53,77.0
54,77.0
55,77.0
56,77.0
57,77.0
58,77.0909090909091
59,77.0
60,76.81818181818181
61,76.81818181818181
62,76.81818181818181
63,77.0
64,77.0
65,77.0
66,76.63636363636364
67,76.63636363636364
68,76.81818181818181
69,77.18181818181819
70,76.9090909090909
71,76.9090909090909
72,76.9090909090909
73,77.0
74,76.81818181818181
75,76.81818181818181
76,77.0909090909091
77,76.45454545454545
78,76.36363636363636
79,76.72727272727273
80,76.36363636363636
81,76.54545454545455
82,76.45454545454545
83,76.36363636363636
84,76.45454545454545
85,76.72727272727273
86,76.36363636363636
87,75.81818181818181
88,75.9090909090909
89,75.81818181818181
90,75.0
91,75.0
92,75.0
93,75.0
94,75.0
95,74.9090909090909
96,75.0
97,75.0
98,75.0
99,75.0
100,75.0
101,75.0
102,75.0
103,75.0
104,75.0
105,75.0
106,75.18181818181819
107,75.27272727272727
108,75.27272727272727
109,75.0
110,75.0
111,75.0
112,75.0
113,74.9090909090909
114,75.27272727272727
115,75.0909090909091
116,75.18181818181819
117,75.0909090909091
118,75.0
119,74.81818181818181
120,74.81818181818181
121,74.81818181818181
122,74.81818181818181
123,75.0909090909091
124,75.0
125,75.36363636363636
126,75.45454545454545
127,75.36363636363636
128,75.63636363636364
129,75.72727272727273
130,75.72727272727273
131,75.63636363636364
132,75.18181818181819
133,75.27272727272727
134,75.63636363636364
135,75.45454545454545
136,75.27272727272727
137,75.27272727272727
138,75.0
139,74.45454545454545
140,74.27272727272727
141,74.45454545454545
142,74.36363636363636
143,74.0909090909091
144,74.45454545454545
145,74.45454545454545
146,74.54545454545455
147,74.63636363636364
148,74.72727272727273
149,74.9090909090909
150,74.9090909090909
151,74.81818181818181
152,74.81818181818181
153,74.63636363636364
